episode,title,publishedAt,durationSeconds,durationMinutes,guid,audioUrl,appleUrl
23,アンチに告ぐ／ゆにばーす川瀬名人の参戦,2023-09-07,3727,62,52283d38-4d5a-11ee-9089-3f12cb584a3c,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS1114789587.mp3?updated=1694077188,https://podcasts.apple.com/jp/podcast/23-%E3%82%A2%E3%83%B3%E3%83%81%E3%81%AB%E5%91%8A%E3%81%90-%E3%82%86%E3%81%AB%E3%81%B0%E3%83%BC%E3%81%99%E5%B7%9D%E7%80%AC%E5%90%8D%E4%BA%BA%E3%81%AE%E5%8F%82%E6%88%A6/id1680512344?i=1000627061456&uo=4
24,エロゲが俺を蘇らせる・・何度でも,2023-09-14,2865,48,971ee93e-52e4-11ee-a226-aba577744e39,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS1200730709.mp3?updated=1694690876,https://podcasts.apple.com/jp/podcast/24-%E3%82%A8%E3%83%AD%E3%82%B2%E3%81%8C%E4%BF%BA%E3%82%92%E8%98%87%E3%82%89%E3%81%9B%E3%82%8B-%E4%BD%95%E5%BA%A6%E3%81%A7%E3%82%82/id1680512344?i=1000627843665&uo=4
25,Welcome to NTR world,2023-09-21,2658,44,096f3cb2-586e-11ee-ada8-83977e29de93,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS7383450605.mp3?updated=1695372807,https://podcasts.apple.com/jp/podcast/25-welcome-to-ntr-world/id1680512344?i=1000628687404&uo=4
26,前田、怒る,2023-09-28,2944,49,67de171a-5de5-11ee-963f-4fe10b93a6d7,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS2124703917.mp3?updated=1696152144,https://podcasts.apple.com/jp/podcast/26-%E5%89%8D%E7%94%B0-%E6%80%92%E3%82%8B/id1680512344?i=1000629500722&uo=4
27,狂乱のパーティー,2023-10-05,2546,42,30433c06-6365-11ee-9a50-5f60206e628a,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS5368655416.mp3?updated=1696882916,https://podcasts.apple.com/jp/podcast/27-%E7%8B%82%E4%B9%B1%E3%81%AE%E3%83%91%E3%83%BC%E3%83%86%E3%82%A3%E3%83%BC/id1680512344?i=1000630293530&uo=4
28,繋いだその手を離さないで,2023-10-12,2914,49,789bcf30-68de-11ee-9806-c368974d5832,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS3972840119.mp3?updated=1697162914,https://podcasts.apple.com/jp/podcast/28-%E7%B9%8B%E3%81%84%E3%81%A0%E3%81%9D%E3%81%AE%E6%89%8B%E3%82%92%E9%9B%A2%E3%81%95%E3%81%AA%E3%81%84%E3%81%A7/id1680512344?i=1000631069624&uo=4
29,大山、暴露される,2023-10-19,2726,45,0d3b75f4-6e62-11ee-8c9c-bfad234326dc,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS3120159528.mp3?updated=1697708564,https://podcasts.apple.com/jp/podcast/29-%E5%A4%A7%E5%B1%B1-%E6%9A%B4%E9%9C%B2%E3%81%95%E3%82%8C%E3%82%8B/id1680512344?i=1000631847800&uo=4
30,"大山くんドキドキの初撮り// ""白肌の天使"" デビュー",2023-10-26,2872,48,b3c127aa-73eb-11ee-9738-87bd28cfaedf,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS3517058952.mp3?updated=1698321306,https://podcasts.apple.com/jp/podcast/30-%E5%A4%A7%E5%B1%B1%E3%81%8F%E3%82%93%E3%83%89%E3%82%AD%E3%83%89%E3%82%AD%E3%81%AE%E5%88%9D%E6%92%AE%E3%82%8A-%E7%99%BD%E8%82%8C%E3%81%AE%E5%A4%A9%E4%BD%BF-%E3%83%87%E3%83%93%E3%83%A5%E3%83%BC/id1680512344?i=1000632686186&uo=4
31,うるせえだろ。病み上がりなんだぜ。それで・・,2023-11-02,2617,44,9d498df4-797d-11ee-b1a2-5b3e91fdadbe,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS9602795418.mp3?updated=1699061688,https://podcasts.apple.com/jp/podcast/31-%E3%81%86%E3%82%8B%E3%81%9B%E3%81%88%E3%81%A0%E3%82%8D-%E7%97%85%E3%81%BF%E4%B8%8A%E3%81%8C%E3%82%8A%E3%81%AA%E3%82%93%E3%81%A0%E3%81%9C-%E3%81%9D%E3%82%8C%E3%81%A7/id1680512344?i=1000633470358&uo=4
32,陰謀論は踊る,2023-11-09,2695,45,a016eab6-7ee8-11ee-8b5a-075798a97ebd,https://pdst.fm/e/pscrb.fm/rss/p/traffic.megaphone.fm/TBS9370543840.mp3?updated=1699893145,https://podcasts.apple.com/jp/podcast/32-%E9%99%B0%E8%AC%80%E8%AB%96%E3%81%AF%E8%B8%8A%E3%82%8B/id1680512344?i=1000634245677&uo=4
